proteinID,geneID
PLM_HUMAN,FXYD1
AIP_HUMAN,AIP
CCL24_HUMAN,CCL24
KCNK1_HUMAN,KCNK1
LEG9_HUMAN,LGALS9
STXB3_HUMAN,STXBP3
MASP2_HUMAN,MASP2
AP4M1_HUMAN,AP4M1
ARVC_HUMAN,ARVCF
RB27B_HUMAN,RAB27B
HRK_HUMAN,HRK
AP3B1_HUMAN,AP3B1
ST2B1_HUMAN,SULT2B1
TLR4_HUMAN,TLR4
RHOD_HUMAN,RHOD
APBB1_HUMAN,APBB1
LEG8_HUMAN,LGALS8
NDUS8_HUMAN,NDUFS8
HYAS3_HUMAN,HAS3
TR10A_HUMAN,TNFRSF10A
IKBE_HUMAN,NFKBIE
GRM8_HUMAN,GRM8
CORT_HUMAN,CORT
PSD11_HUMAN,PSMD11
PSD12_HUMAN,PSMD12
PSMD9_HUMAN,PSMD9
RN103_HUMAN,RNF103
BMR1B_HUMAN,BMPR1B
SIRB1_HUMAN,SIRPB1
ATOX1_HUMAN,ATOX1
AGRP_HUMAN,AGRP
PAR3_HUMAN,F2RL2
MEN1_HUMAN,MEN1
CBX4_HUMAN,CBX4
GET1_HUMAN,GET1
PGRC1_HUMAN,PGRMC1
SPT5H_HUMAN,SUPT5H
TAF4_HUMAN,TAF4
GPR31_HUMAN,GPR31
DFFA_HUMAN,DFFA
RFXAP_HUMAN,RFXAP
HIP1_HUMAN,HIP1
LFTY2_HUMAN,LEFTY2
TULP1_HUMAN,TULP1
CLIC1_HUMAN,CLIC1
TR11B_HUMAN,TNFRSF11B
EIF3F_HUMAN,EIF3F
CACB4_HUMAN,CACNB4
WWP2_HUMAN,WWP2
CDC7_HUMAN,CDC7
UPK1A_HUMAN,UPK1A
BMAL1_HUMAN,ARNTL
PK3CD_HUMAN,PIK3CD
ODPX_HUMAN,PDHX
S28A1_HUMAN,SLC28A1
ST1C2_HUMAN,SULT1C2
MATN2_HUMAN,MATN2
EAA5_HUMAN,SLC1A7
FOXE1_HUMAN,FOXE1
QSOX1_HUMAN,QSOX1
ACATN_HUMAN,SLC33A1
WASL_HUMAN,WASL
PDE2A_HUMAN,PDE2A
FOXN3_HUMAN,FOXN3
IPO5_HUMAN,IPO5
RPOM_HUMAN,POLRMT
EF2K_HUMAN,EEF2K
CCRL2_HUMAN,CCRL2
SAP18_HUMAN,SAP18
EMAL1_HUMAN,EML1
IF2B3_HUMAN,IGF2BP3
