proteinID,geneID
TNR8_HUMAN,TNFRSF8
CD1B_HUMAN,CD1B
CD1C_HUMAN,CD1C
CXB2_HUMAN,GJB2
S10A2_HUMAN,S100A2
PTN4_HUMAN,PTPN4
T2EA_HUMAN,GTF2E1
T2EB_HUMAN,GTF2E2
NEC1_HUMAN,PCSK1
PCSK6_HUMAN,PCSK6
TPP2_HUMAN,TPP2
IMPA1_HUMAN,IMPA1
AA2AR_HUMAN,ADORA2A
AA2BR_HUMAN,ADORA2B
CCN2_HUMAN,CCN2
EPHA2_HUMAN,EPHA2
EPHA3_HUMAN,EPHA3
EPHA8_HUMAN,EPHA8
EPHB2_HUMAN,EPHB2
PTN6_HUMAN,PTPN6
SHC1_HUMAN,SHC1
NK3R_HUMAN,TACR3
3MG_HUMAN,MPG
RABP2_HUMAN,CRABP2
ARI4A_HUMAN,ARID4A
KDM5A_HUMAN,KDM5A
LTK_HUMAN,LTK
CO4A5_HUMAN,COL4A5
TKT_HUMAN,TKT
IL12A_HUMAN,IL12A
IL12B_HUMAN,IL12B
CASP1_HUMAN,CASP1
NOS3_HUMAN,NOS3
NOS1_HUMAN,NOS1
SPB3_HUMAN,SERPINB3
LMOD1_HUMAN,LMOD1
RBMS1_HUMAN,RBMS1
PML_HUMAN,PML
TYK2_HUMAN,TYK2
KAIN_HUMAN,SERPINA4
EF1D_HUMAN,EEF1D
OAS2_HUMAN,OAS2
ODPAT_HUMAN,PDHA2
CD40L_HUMAN,CD40LG
MARCS_HUMAN,MARCKS
AQP1_HUMAN,AQP1
CNGA1_HUMAN,CNGA1
GNA11_HUMAN,GNA11
AL4A1_HUMAN,ALDH4A1
PBLD_HUMAN,PBLD
ERP29_HUMAN,ERP29
PRDX6_HUMAN,PRDX6
BLVRB_HUMAN,BLVRB
PRDX5_HUMAN,PRDX5
DOPD_HUMAN,DDT
GFRP_HUMAN,GCHFR
PRDX3_HUMAN,PRDX3
ATPD_HUMAN,ATP5F1D
RL12_HUMAN,RPL12
ECHM_HUMAN,ECHS1
KCY_HUMAN,CMPK1
PEBP1_HUMAN,PEBP1
PDIA3_HUMAN,PDIA3
2AAA_HUMAN,PPP2R1A
2AAB_HUMAN,PPP2R1B
CD6_HUMAN,CD6
CDC27_HUMAN,CDC27
FCERG_HUMAN,FCER1G
CCND2_HUMAN,CCND2
CCND3_HUMAN,CCND3
WEE1_HUMAN,WEE1
MIP_HUMAN,MIP
MPIP1_HUMAN,CDC25A
MPIP2_HUMAN,CDC25B
MPIP3_HUMAN,CDC25C
PPIF_HUMAN,PPIF
BKRB2_HUMAN,BDKRB2
NKTR_HUMAN,NKTR
NMT1_HUMAN,NMT1
HLAF_HUMAN,HLA
V2R_HUMAN,AVPR2
HMOX2_HUMAN,HMOX2
PURA2_HUMAN,ADSS2
UFO_HUMAN,AXL
SC6A1_HUMAN,SLC6A1
ACHA5_HUMAN,CHRNA5
AMRP_HUMAN,LRPAP1
TSPO_HUMAN,TSPO
AA1R_HUMAN,ADORA1
GRPR_HUMAN,GRPR
AGTR1_HUMAN,AGTR1
OXYR_HUMAN,OXTR
PUR8_HUMAN,ADSL
KPYR_HUMAN,PKLR
CLIP1_HUMAN,CLIP1
SORCN_HUMAN,SRI
GNA15_HUMAN,GNA15
ILEU_HUMAN,SERPINB1
GCH1_HUMAN,GCH1
SL7A1_HUMAN,SLC7A1
AL1B1_HUMAN,ALDH1B1
AL3A1_HUMAN,ALDH3A1
SSR1_HUMAN,SSTR1
SSR2_HUMAN,SSTR2
RPB2_HUMAN,POLR2B
ACHB4_HUMAN,CHRNB4
5HT1F_HUMAN,HTR1F
GNRHR_HUMAN,GNRHR
NTR1_HUMAN,NTSR1
NEUT_HUMAN,NTS
LCN1_HUMAN,LCN1
SDHA_HUMAN,SDHA
COR1A_HUMAN,CORO1A
GDIA_HUMAN,GDI1
S10A7_HUMAN,S100A7
MK04_HUMAN,MAPK4
METK2_HUMAN,MAT2A
S5A2_HUMAN,SRD5A2
HXD3_HUMAN,HOXD3
HXA10_HUMAN,HOXA10
HXA7_HUMAN,HOXA7
HXA9_HUMAN,HOXA9
HXA11_HUMAN,HOXA11
HXA13_HUMAN,HOXA13
HXC8_HUMAN,HOXC8
HXC9_HUMAN,HOXC9
HXC13_HUMAN,HOXC13
TLX1_HUMAN,TLX1
KAP1_HUMAN,PRKAR1B
KAP3_HUMAN,PRKAR2B
CPSM_HUMAN,CPS1
RIR2_HUMAN,RRM2
CD52_HUMAN,CD52
FGF9_HUMAN,FGF9
SSR4_HUMAN,SSTR4
CASQ1_HUMAN,CASQ1
SDC4_HUMAN,SDC4
TIA1_HUMAN,TIA1
FMO4_HUMAN,FMO4
FMO3_HUMAN,FMO3
ZEP2_HUMAN,HIVEP2
SC5A2_HUMAN,SLC5A2
SC6A6_HUMAN,SLC6A6
GBRA5_HUMAN,GABRA5
SC6A4_HUMAN,SLC6A4
DNJA1_HUMAN,DNAJA1
AKT1_HUMAN,AKT1
AKT2_HUMAN,AKT2
IL2RG_HUMAN,IL2RG
QCR1_HUMAN,UQCRC1
3HIDH_HUMAN,HIBADH
PUR9_HUMAN,ATIC
ABC3A_HUMAN,APOBEC3A
HNRH3_HUMAN,HNRNPH3
HNRH1_HUMAN,HNRNPH1
CASPE_HUMAN,CASP14
1433B_HUMAN,YWHAB
1433S_HUMAN,SFN
STIP1_HUMAN,STIP1
S10AB_HUMAN,S100A11
FCG2B_HUMAN,FCGR2B
CEAM8_HUMAN,CEACAM8
L1CAM_HUMAN,L1CAM
I5P2_HUMAN,INPP5B
PRDX2_HUMAN,PRDX2
ARRB2_HUMAN,ARRB2
GLPK_HUMAN,GK
CCKAR_HUMAN,CCKAR
GASR_HUMAN,CCKBR
VIPR1_HUMAN,VIPR1
OTX1_HUMAN,OTX1
OTX2_HUMAN,OTX2
MC4R_HUMAN,MC4R
CCR1_HUMAN,CCR1
BRS3_HUMAN,BRS3
CCR7_HUMAN,CCR7
GP183_HUMAN,GPR183
ACHA3_HUMAN,CHRNA3
GRK4_HUMAN,GRK4
CXCR5_HUMAN,CXCR5
CDD_HUMAN,CDA
DCTD_HUMAN,DCTD
P5CR1_HUMAN,PYCR1
NAC1_HUMAN,SLC8A1
GBP1_HUMAN,GBP1
GBP2_HUMAN,GBP2
ELF1_HUMAN,ELF1
SSR3_HUMAN,SSTR3
HPPD_HUMAN,HPD
TF2H1_HUMAN,GTF2H1
STX2_HUMAN,STX2
IFNA8_HUMAN,IFNA8
DSG3_HUMAN,DSG3
IL3RB_HUMAN,CSF2RB
CGL_HUMAN,CTH
ICAM3_HUMAN,ICAM3
RL9_HUMAN,RPL9
CD70_HUMAN,CD70
TNFL8_HUMAN,TNFSF8
MC5R_HUMAN,MC5R
C2TA_HUMAN,CIITA
ACSL1_HUMAN,ACSL1
CADH5_HUMAN,CDH5
KINH_HUMAN,KIF5B
CSTF2_HUMAN,CSTF2
LSP1_HUMAN,LSP1
CP2CI_HUMAN,CYP2C18
CP2CJ_HUMAN,CYP2C19
DUT_HUMAN,DUT
GCYA2_HUMAN,GUCY1A2
MRP1_HUMAN,ABCC1
CD80_HUMAN,CD80
S10A5_HUMAN,S100A5
S10A3_HUMAN,S100A3
H2B1B_HUMAN,H2BC3
ABCD1_HUMAN,ABCD1
MA1A1_HUMAN,MAN1A1
ERD22_HUMAN,KDELR2
TTK_HUMAN,TTK
MCM4_HUMAN,MCM4
MCM5_HUMAN,MCM5
MCM7_HUMAN,MCM7
GALNS_HUMAN,GALNS
RNAS4_HUMAN,RNASE4
NTF4_HUMAN,NTF4
SDC2_HUMAN,SDC2
CD68_HUMAN,CD68
GLYC_HUMAN,SHMT1
GLYM_HUMAN,SHMT2
GBRA3_HUMAN,GABRA3
EVI2B_HUMAN,EVI2B
HYES_HUMAN,EPHX2
RYK_HUMAN,RYK
HS71L_HUMAN,HSPA1L
HSP74_HUMAN,HSPA4
GRK5_HUMAN,GRK5
MPI_HUMAN,MPI
5HT7R_HUMAN,HTR7
CNR2_HUMAN,CNR2
TRFR_HUMAN,TRHR
OR1D2_HUMAN,OR1D2
PE2R1_HUMAN,PTGER1
CRFR1_HUMAN,CRHR1
TRY3_HUMAN,PRSS3
GPC1_HUMAN,GPC1
BTC_HUMAN,BTC
PROF2_HUMAN,PFN2
UBP6_HUMAN,USP6
CXA4_HUMAN,GJA4
CAH5A_HUMAN,CA5A
CAH8_HUMAN,CA8
CTNA1_HUMAN,CTNNA1
CTNB1_HUMAN,CTNNB1
IL13_HUMAN,IL13
BMI1_HUMAN,BMI1
PCGF2_HUMAN,PCGF2
NOS2_HUMAN,NOS2
PHB1_HUMAN,PHB1
PTN7_HUMAN,PTPN7
SPB6_HUMAN,SERPINB6
MERL_HUMAN,NF2
RADI_HUMAN,RDX
RECO_HUMAN,RCVRN
RFA3_HUMAN,RPA3
SFTPD_HUMAN,SFTPD
RFC4_HUMAN,RFC4
RFC2_HUMAN,RFC2
RFC1_HUMAN,RFC1
RL22_HUMAN,RPL22
T2FA_HUMAN,GTF2F1
SPRE_HUMAN,SPR
ADML_HUMAN,ADM
SPR1A_HUMAN,SPRR1A
SPR2A_HUMAN,SPRR2A
SSR5_HUMAN,SSTR5
ADA1A_HUMAN,ADRA1A
PGH2_HUMAN,PTGS2
HRH1_HUMAN,HRH1
ADA1B_HUMAN,ADRA1B
OPRM_HUMAN,OPRM1
RORA_HUMAN,RORA
PE2R4_HUMAN,PTGER4
APJ_HUMAN,APLNR
TSP2_HUMAN,THBS2
TSP4_HUMAN,THBS4
HXD12_HUMAN,HOXD12
HXD13_HUMAN,HOXD13
DRD3_HUMAN,DRD3
IDUA_HUMAN,IDUA
SCN1A_HUMAN,SCN1A
SCN4A_HUMAN,SCN4A
UD13_HUMAN,UGT1A3
UD15_HUMAN,UGT1A5
CBS_HUMAN,CBS
CLCN1_HUMAN,CLCN1
K1C9_HUMAN,KRT9
MSX2_HUMAN,MSX2
FBN1_HUMAN,FBN1
FBN2_HUMAN,FBN2
HXK4_HUMAN,GCK
PCKGC_HUMAN,PCK1
IRS1_HUMAN,IRS1
GDE_HUMAN,AGL
G6PC1_HUMAN,G6PC1
MYH9_HUMAN,MYH9
MYH10_HUMAN,MYH10
TIE1_HUMAN,TIE1
COPB2_HUMAN,COPB2
ACTN2_HUMAN,ACTN2
SOAT1_HUMAN,SOAT1
ADDA_HUMAN,ADD1
ADDB_HUMAN,ADD2
BASI_HUMAN,BSG
TIMP3_HUMAN,TIMP3
ARBK2_HUMAN,GRK3
FUS_HUMAN,FUS
DDIT3_HUMAN,DDIT3
NU214_HUMAN,NUP214
DEK_HUMAN,DEK
ATP7B_HUMAN,ATP7B
HNF1B_HUMAN,HNF1B
SOX5_HUMAN,SOX5
SOX6_HUMAN,SOX6
SOX18_HUMAN,SOX18
SOX11_HUMAN,SOX11
MYH11_HUMAN,MYH11
GLRX1_HUMAN,GLRX
ZNF93_HUMAN,ZNF93
CHKA_HUMAN,CHKA
PPM1A_HUMAN,PPM1A
ALS_HUMAN,IGFALS
AHR_HUMAN,AHR
K1C20_HUMAN,KRT20
K22E_HUMAN,KRT2
PDE6B_HUMAN,PDE6B
HMGCL_HUMAN,HMGCL
VGFR3_HUMAN,FLT4
VGFR2_HUMAN,KDR
PRS7_HUMAN,PSMC2
MOT8_HUMAN,SLC16A2
CH3L1_HUMAN,CHI3L1
GGT2_HUMAN,GGT2P
GGT5_HUMAN,GGT5
CXA5_HUMAN,GJA5
CXG1_HUMAN,GJC1
TCF7_HUMAN,TCF7
ARL2_HUMAN,ARL2
ARL3_HUMAN,ARL3
TRI23_HUMAN,TRIM23
MP2K2_HUMAN,MAP2K2
ZNF76_HUMAN,ZNF76
ATPG_HUMAN,ATP5F1C
VATE1_HUMAN,ATP6V1E1
ACHA7_HUMAN,CHRNA7
HEM6_HUMAN,CPOX
ARRC_HUMAN,ARR3
RL4_HUMAN,RPL4
8ODP_HUMAN,NUDT1
LONM_HUMAN,LONP1
PGM1_HUMAN,PGM1
PP1G_HUMAN,PPP1CC
FLT3_HUMAN,FLT3
BMR1A_HUMAN,BMPR1A
ACV1B_HUMAN,ACVR1B
TGFR1_HUMAN,TGFBR1
TNR3_HUMAN,LTBR
SPB5_HUMAN,SERPINB5
RPB9_HUMAN,POLR2I
PEDF_HUMAN,SERPINF1
SRBP1_HUMAN,SREBF1
ODO2_HUMAN,DLST
GMPR1_HUMAN,GMPR
GPX4_HUMAN,GPX4
FHR2_HUMAN,CFHR2
ACVL1_HUMAN,ACVRL1
DHB3_HUMAN,HSD17B3
DHB2_HUMAN,HSD17B2
SCNNA_HUMAN,SCNN1A
SRP14_HUMAN,SRP14
TGFR2_HUMAN,TGFBR2
NUP62_HUMAN,NUP62
PPARG_HUMAN,PPARG
HPCL1_HUMAN,HPCAL1
FDFT_HUMAN,FDFT1
ZEB1_HUMAN,ZEB1
PIGA_HUMAN,PIGA
V1AR_HUMAN,AVPR1A
TAGL2_HUMAN,TAGLN2
TALDO_HUMAN,TALDO1
SYUA_HUMAN,SNCA
ETFB_HUMAN,ETFB
RBMX_HUMAN,RBMX
BRCA1_HUMAN,BRCA1
GNAL_HUMAN,GNAL
COIL_HUMAN,COIL
VKGC_HUMAN,GGCX
INGR2_HUMAN,IFNGR2
HYALP_HUMAN,SPAM1
ITAE_HUMAN,ITGAE
LICH_HUMAN,LIPA
VATA_HUMAN,ATP6V1A
GRP75_HUMAN,HSPA9
IF4A3_HUMAN,EIF4A3
SMBP2_HUMAN,IGHMBP2
CDN1A_HUMAN,CDKN1A
RS19_HUMAN,RPS19
RL3_HUMAN,RPL3
COFA1_HUMAN,COL15A1
COIA1_HUMAN,COL18A1
GRIK1_HUMAN,GRIK1
MPV17_HUMAN,MPV17
OST48_HUMAN,DDOST
AN32A_HUMAN,ANP32A
FEN1_HUMAN,FEN1
PA2G5_HUMAN,PLA2G5
CUX1_HUMAN,CUX1
MMP12_HUMAN,MMP12
GDNF_HUMAN,GDNF
CAPG_HUMAN,CAPG
CAP2_HUMAN,CAP2
TYRP2_HUMAN,DCT
ADCY8_HUMAN,ADCY8
IL6RB_HUMAN,IL6ST
GPV_HUMAN,GP5
CEAM3_HUMAN,CEACAM3
CEAM6_HUMAN,CEACAM6
TACT_HUMAN,CD96
TXLNA_HUMAN,TXLNA
TPO_HUMAN,THPO
TCPZ_HUMAN,CCT6A
TPOR_HUMAN,MPL
CD79B_HUMAN,CD79B
NNMT_HUMAN,NNMT
IFI27_HUMAN,IFI27
PSB10_HUMAN,PSMB10
VHL_HUMAN,VHL
ADH7_HUMAN,ADH7
PBX1_HUMAN,PBX1
PBX2_HUMAN,PBX2
PBX3_HUMAN,PBX3
RL13A_HUMAN,RPL13A
ARL1_HUMAN,ARL1
ARL4A_HUMAN,ARL4A
MLH1_HUMAN,MLH1
STAT3_HUMAN,STAT3
UBP8_HUMAN,USP8
PEX19_HUMAN,PEX19
S26A3_HUMAN,SLC26A3
MDHC_HUMAN,MDH1
MDHM_HUMAN,MDH2
IL15_HUMAN,IL15
RFC5_HUMAN,RFC5
RFC3_HUMAN,RFC3
ECHA_HUMAN,HADHA
PMEL_HUMAN,PMEL
CCNF_HUMAN,CCNF
IF2G_HUMAN,EIF2S3
ID1_HUMAN,ID1
OPRD_HUMAN,OPRD1
OPRK_HUMAN,OPRK1
OPRX_HUMAN,OPRL1
LEP_HUMAN,LEP
ETV5_HUMAN,ETV5
ETV3_HUMAN,ETV3
CASR_HUMAN,CASR
AQP2_HUMAN,AQP2
BCL6_HUMAN,BCL6
CETN2_HUMAN,CETN2
ETV6_HUMAN,ETV6
EIF2D_HUMAN,EIF2D
OX2G_HUMAN,CD200
MNDA_HUMAN,MNDA
PERI_HUMAN,PRPH
RGS2_HUMAN,RGS2
WNT5A_HUMAN,WNT5A
PTGDS_HUMAN,PTGDS
BUD31_HUMAN,BUD31
SOX3_HUMAN,SOX3
UBA7_HUMAN,UBA7
NAA10_HUMAN,NAA10
KDM5C_HUMAN,KDM5C
P2RY2_HUMAN,P2RY2
HNF4A_HUMAN,HNF4A
IPP2_HUMAN,PPP1R2
ABEC1_HUMAN,APOBEC1
CSK_HUMAN,CSK
PLPL4_HUMAN,PNPLA4
GARS_HUMAN,GARS1
SYIC_HUMAN,IARS1
NBL1_HUMAN,NBL1
TNFL9_HUMAN,TNFSF9
M3K8_HUMAN,MAP3K8
FOLR3_HUMAN,FOLR3
S19A1_HUMAN,SLC19A1
EIF1_HUMAN,EIF1
PACR_HUMAN,ADCYAP1R1
VIPR2_HUMAN,VIPR2
GRM5_HUMAN,GRM5
5HT2B_HUMAN,HTR2B
CCR2_HUMAN,CCR2
TSN7_HUMAN,TSPAN7
KPCI_HUMAN,PRKCI
MC3R_HUMAN,MC3R
ELK3_HUMAN,ELK3
ACTY_HUMAN,ACTR1B
CD86_HUMAN,CD86
ECI1_HUMAN,ECI1
ASIP_HUMAN,ASIP
LAP2A_HUMAN,TMPO
LAP2B_HUMAN,TMPO
STAT1_HUMAN,STAT1
STAT6_HUMAN,STAT6
STA5A_HUMAN,STAT5A
GRIA1_HUMAN,GRIA1
GRIA2_HUMAN,GRIA2
GRIA3_HUMAN,GRIA3
MTREX_HUMAN,MTREX
AK1C3_HUMAN,AKR1C3
RHG25_HUMAN,ARHGAP25
PK3CA_HUMAN,PIK3CA
PK3CB_HUMAN,PIK3CB
MTOR_HUMAN,MTOR
PI4KA_HUMAN,PI4KA
HUTH_HUMAN,HAL
EPS15_HUMAN,EPS15
AF9_HUMAN,MLLT3
CASP3_HUMAN,CASP3
CASP2_HUMAN,CASP2
DPP6_HUMAN,DPP6
RS27_HUMAN,RPS27
MATK_HUMAN,MATK
TEC_HUMAN,TEC
TXK_HUMAN,TXK
ABL2_HUMAN,ABL2
FRK_HUMAN,FRK
HELZ_HUMAN,HELZ
CNDD3_HUMAN,NCAPD3
I12R1_HUMAN,IL12RB1
LIFR_HUMAN,LIFR
LPPRC_HUMAN,LRPPRC
THIM_HUMAN,ACAA2
RL35_HUMAN,RPL35
WASP_HUMAN,WAS
CDN2A_HUMAN,CDKN2A
CDN2B_HUMAN,CDKN2B
CDN2C_HUMAN,CDKN2C
PCP_HUMAN,PRCP
CXCL5_HUMAN,CXCL5
NSG1_HUMAN,NSG1
HD_HUMAN,HTT
ECE1_HUMAN,ECE1
MTHR_HUMAN,MTHFR
EAA1_HUMAN,SLC1A3
EAA2_HUMAN,SLC1A2
EAA3_HUMAN,SLC1A1
SATT_HUMAN,SLC1A4
GDF5_HUMAN,GDF5
LIS1_HUMAN,PAFAH1B1
GUC1A_HUMAN,GUCA1A
PF2R_HUMAN,PTGFR
PE2R3_HUMAN,PTGER3
PI2R_HUMAN,PTGIR
MUC18_HUMAN,MCAM
DCC_HUMAN,DCC
CACP_HUMAN,CRAT
CAH7_HUMAN,CA7
GLP1R_HUMAN,GLP1R
CATO_HUMAN,CTSO
CATK_HUMAN,CTSK
MATR3_HUMAN,MATR3
MSH2_HUMAN,MSH2
GRK6_HUMAN,GRK6
BTD_HUMAN,BTD
ETV4_HUMAN,ETV4
GPDM_HUMAN,GPD2
SSRA_HUMAN,SSR1
CRBB2_HUMAN,CRYBB2
RAD52_HUMAN,RAD52
AL3B1_HUMAN,ALDH3B1
NR4A2_HUMAN,NR4A2
MAGA1_HUMAN,MAGEA1
MAGA2_HUMAN,MAGEA2
MAGA3_HUMAN,MAGEA3
MAGA4_HUMAN,MAGEA4
MAGA6_HUMAN,MAGEA6
MAGA8_HUMAN,MAGEA8
MAGAB_HUMAN,MAGEA11
MAGAC_HUMAN,MAGEA12
PTN9_HUMAN,PTPN9
ZAP70_HUMAN,ZAP70
KSYK_HUMAN,SYK
RANG_HUMAN,RANBP1
TNR4_HUMAN,TNFRSF4
NAMPT_HUMAN,NAMPT
KI2L1_HUMAN,KIR2DL1
KI2L3_HUMAN,KIR2DL3
KI3L1_HUMAN,KIR3DL1
KI3L2_HUMAN,KIR3DL2
AFAM_HUMAN,AFM
LPAR6_HUMAN,LPAR6
ACHA4_HUMAN,CHRNA4
PRS6B_HUMAN,PSMC4
GATA4_HUMAN,GATA4
NKX21_HUMAN,NKX2
EFTS_HUMAN,TSFM
TNNT3_HUMAN,TNNT3
TNNT2_HUMAN,TNNT2
ACY2_HUMAN,ASPA
MMP13_HUMAN,MMP13
ABCG1_HUMAN,ABCG1
PPIC_HUMAN,PPIC
VDAC2_HUMAN,VDAC2
ACDSB_HUMAN,ACADSB
CBX5_HUMAN,CBX5
UBP5_HUMAN,USP5
MK08_HUMAN,MAPK8
MK09_HUMAN,MAPK9
MP2K4_HUMAN,MAP2K4
KI67_HUMAN,MKI67
KPB2_HUMAN,PHKA2
KPB1_HUMAN,PHKA1
S15A1_HUMAN,SLC15A1
RAGP1_HUMAN,RANGAP1
RECQ1_HUMAN,RECQL
NOP2_HUMAN,NOP2
GPR3_HUMAN,GPR3
CML2_HUMAN,CMKLR2
CCR10_HUMAN,CCR10
GPR4_HUMAN,GPR4
XCR1_HUMAN,XCR1
5HT3A_HUMAN,HTR3A
ATRX_HUMAN,ATRX
CRK_HUMAN,CRK
CRKL_HUMAN,CRKL
IF2M_HUMAN,MTIF2
BAG6_HUMAN,BAG6
GSTM5_HUMAN,GSTM5
NSF_HUMAN,NSF
CDN1B_HUMAN,CDKN1B
NOTC1_HUMAN,NOTCH1
ASMT_HUMAN,ASMT
BKRB1_HUMAN,BDKRB1
IEX1_HUMAN,IER3
SO1A2_HUMAN,SLCO1A2
MP2K3_HUMAN,MAP2K3
BRCC3_HUMAN,BRCC3
RL27A_HUMAN,RPL27A
RL5_HUMAN,RPL5
RL21_HUMAN,RPL21
RL28_HUMAN,RPL28
RS9_HUMAN,RPS9
RS5_HUMAN,RPS5
RS10_HUMAN,RPS10
MAP1B_HUMAN,MAP1B
GNPI1_HUMAN,GNPDA1
NEDD4_HUMAN,NEDD4
YAP1_HUMAN,YAP1
UTRN_HUMAN,UTRN
IQGA1_HUMAN,IQGAP1
3HAO_HUMAN,HAAO
GLYG_HUMAN,GYG1
STT3A_HUMAN,STT3A
GALR1_HUMAN,GALR1
MSS4_HUMAN,RABIF
CASA1_HUMAN,CSN1S1
PA24A_HUMAN,PLA2G4A
RPGP1_HUMAN,RAP1GAP
CAZA2_HUMAN,CAPZA2
CAPZB_HUMAN,CAPZB
RGR_HUMAN,RGR
IF1AX_HUMAN,EIF1AX
GBRA2_HUMAN,GABRA2
GBRB2_HUMAN,GABRB2
GLR_HUMAN,GCGR
SCTR_HUMAN,SCTR
AL1A3_HUMAN,ALDH1A3
SYQ_HUMAN,QARS1
5HT5A_HUMAN,HTR5A
P2RY1_HUMAN,P2RY1
V1BR_HUMAN,AVPR1B
CDX1_HUMAN,CDX1
RL29_HUMAN,RPL29
ID4_HUMAN,ID4
LEG7_HUMAN,LGALS7
TISD_HUMAN,ZFP36L2
UCRI_HUMAN,UQCRFS1
XDH_HUMAN,XDH
XCL1_HUMAN,XCL1
TNFL6_HUMAN,FASLG
SC6A8_HUMAN,SLC6A8
MTR1A_HUMAN,MTNR1A
ATPO_HUMAN,ATP5PO
KCNJ1_HUMAN,KCNJ1
KCNJ4_HUMAN,KCNJ4
KCNJ6_HUMAN,KCNJ6
CBPA2_HUMAN,CPA2
GRIA4_HUMAN,GRIA4
LIMS1_HUMAN,LIMS1
SDF1_HUMAN,CXCL12
S6A12_HUMAN,SLC6A12
S6A11_HUMAN,SLC6A11
SC6A9_HUMAN,SLC6A9
NPBW1_HUMAN,NPBWR1
NPBW2_HUMAN,NPBWR2
PPCE_HUMAN,PREP
MAOX_HUMAN,ME1
CXA8_HUMAN,GJA8
GLRB_HUMAN,GLRB
GBRA4_HUMAN,GABRA4
IREB2_HUMAN,IREB2
AT5G3_HUMAN,ATP5MC3
T4S4_HUMAN,TM4SF4
REG1B_HUMAN,REG1B
TFPI2_HUMAN,TFPI2
LEPR_HUMAN,LEPR
RFX2_HUMAN,RFX2
RFX3_HUMAN,RFX3
RFX5_HUMAN,RFX5
PI42A_HUMAN,PIP4K2A
SOX2_HUMAN,SOX2
SOX9_HUMAN,SOX9
RXRG_HUMAN,RXRG
COPD_HUMAN,ARCN1
AL3B2_HUMAN,ALDH3B2
LSS_HUMAN,LSS
PP2BC_HUMAN,PPP3CC
GSH1_HUMAN,GCLC
GSH0_HUMAN,GCLM
CD151_HUMAN,CD151
PCP4_HUMAN,PCP4
KCNJ5_HUMAN,KCNJ5
GIPR_HUMAN,GIPR
KCNC1_HUMAN,KCNC1
KCNJ3_HUMAN,KCNJ3
INAR2_HUMAN,IFNAR2
NRIP1_HUMAN,NRIP1
TPC10_HUMAN,TRAPPC10
PSMD8_HUMAN,PSMD8
SPB4_HUMAN,SERPINB4
SPB10_HUMAN,SERPINB10
PRC2A_HUMAN,PRRC2A
GSHB_HUMAN,GSS
TCPE_HUMAN,CCT5
NMU_HUMAN,NMU
PTSS1_HUMAN,PTDSS1
EAA4_HUMAN,SLC1A6
K2C6C_HUMAN,KRT6C
NEST_HUMAN,NES
HSP13_HUMAN,HSPA13
GCST_HUMAN,AMT
KC1A_HUMAN,CSNK1A1
KC1D_HUMAN,CSNK1D
IDHP_HUMAN,IDH2
PK3CG_HUMAN,PIK3CG
PIPNB_HUMAN,PITPNB
MASP1_HUMAN,MASP1
LHX1_HUMAN,LHX1
CCN3_HUMAN,CCN3
B3A3_HUMAN,SLC4A3
SL9A3_HUMAN,SLC9A3
T23O_HUMAN,TDO2
TNNI2_HUMAN,TNNI2
AGRE5_HUMAN,ADGRE5
TRPC1_HUMAN,TRPC1
DPOD2_HUMAN,POLD2
MRP_HUMAN,MARCKSL1
HCAR3_HUMAN,HCAR3
PAXI_HUMAN,PXN
CAMLG_HUMAN,CAMLG
NR2C2_HUMAN,NR2C2
MAPK2_HUMAN,MAPKAPK2
NPY2R_HUMAN,NPY2R
DNSL1_HUMAN,DNASE1L1
AL9A1_HUMAN,ALDH9A1
PTH2R_HUMAN,PTH2R
RL34_HUMAN,RPL34
TGM4_HUMAN,TGM4
CX3C1_HUMAN,CX3CR1
RPIA_HUMAN,RPIA
LMAN1_HUMAN,LMAN1
NRAM1_HUMAN,SLC11A1
NRAM2_HUMAN,SLC11A2
MTR1B_HUMAN,MTNR1B
NASP_HUMAN,NASP
FMO5_HUMAN,FMO5
FAS_HUMAN,FASN
CDK8_HUMAN,CDK8
FNTA_HUMAN,FNTA
FNTB_HUMAN,FNTB
DHYS_HUMAN,DHPS
TCPG_HUMAN,CCT3
ARRB1_HUMAN,ARRB1
EFTU_HUMAN,TUFM
AMPH_HUMAN,AMPH
AL7A1_HUMAN,ALDH7A1
UB2R1_HUMAN,CDC34
INPP_HUMAN,INPP1
CY561_HUMAN,CYB561
DHE4_HUMAN,GLUD2
CENPA_HUMAN,CENPA
CENPF_HUMAN,CENPF
SRP09_HUMAN,SRP9
UBE2A_HUMAN,UBE2A
PCY1A_HUMAN,PCYT1A
SYAC_HUMAN,AARS1
SYCC_HUMAN,CARS1
SYHM_HUMAN,HARS2
SYSC_HUMAN,SARS1
PPM1F_HUMAN,PPM1F
DGKG_HUMAN,DGKG
TTPA_HUMAN,TTPA
EVX1_HUMAN,EVX1
MA2A2_HUMAN,MAN2A2
PRI1_HUMAN,PRIM1
PRI2_HUMAN,PRIM2
CASP4_HUMAN,CASP4
KC1E_HUMAN,CSNK1E
STAR_HUMAN,STAR
CXCR3_HUMAN,CXCR3
PRLHR_HUMAN,PRLHR
GPR15_HUMAN,GPR15
ARL4D_HUMAN,ARL4D
CTCF_HUMAN,CTCF
CEBPA_HUMAN,CEBPA
CEBPD_HUMAN,CEBPD
PSB3_HUMAN,PSMB3
PSB2_HUMAN,PSMB2
MCM2_HUMAN,MCM2
TSP3_HUMAN,THBS3
